lemma,pos,ehitz_freq,syls,syl_n
apokalipsi,N,0.549,a-po-ka-lip-si,5
kontserbatze,N,0.549,kon-tser-ba-tze,4
kontserbazio,N,5.212,kon-tser-ba-zi-o,5
kontsideratu,V,12.893,kon-tsi-de-ra-tu,5
kontsiderazio,N,6.309,kon-tsi-de-ra-zi-o,6
kontsidero,N,0.549,kon-tsi-de-ro,4
kontsigna,N,1.646,kon-tsig-na,3
kontsistentzia,G,1.097,kon-tsis-ten-tzi-a,5
kontsolagarri,G,1.646,kon-tso-la-ga-rri,5
kontsolamendu,N,3.292,kon-tso-la-men-du,5
adar,N,61.173,a-dar,2
apokaliptiko,G,0.549,a-po-ka-lip-ti-ko,6
kontsolatu,V,5.761,kon-tso-la-tu,4
kontsolazio,N,1.097,kon-tso-la-zi-o,5
kontsolidatu,G,0.549,kon-tso-li-da-tu,5
kontsonante,N,10.973,kon-tso-nan-te,4
kontsonantismo,G,0.823,kon-tso-nan-tis-mo,5
kontsortzio,N,0.549,kon-tsor-tzi-o,4
kontsul,N,1.372,kon-tsul,2
kontsularitza,N,1.097,kon-tsu-la-ri-tza,5
kontsulta,N,20.848,kon-tsul-ta,3
kontsultategi,N,0.549,kon-tsul-ta-te-gi,5
apokrifo,G,0.549,a-po-kri-fo,4
kontsultatu,V,8.23,kon-tsul-ta-tu,4
kontsultatzaile,N,0.549,kon-tsul-ta-tzai-le,5
kontsultorio,G,0.549,kon-tsul-to-ri-o,5
kontsumerista,N,0.549,kon-tsu-me-ris-ta,5
kontsumitu,V,6.584,kon-tsu-mi-tu,4
kontsumitzaile,N,7.132,kon-tsu-mi-tzai-le,5
kontsumo,N,27.706,kon-tsu-mo,3
kontu,N,179.129,kon-tu,2
kontusail,G,1.372,kon-tu-sail,3
kontualdi,N,0.549,kon-tu-al-di,4
apologetika,N,0.549,a-po-lo-ge-ti-ka,6
kontulari,N,1.097,kon-tu-la-ri,4
kontularitza,N,1.097,kon-tu-la-ri-tza,5
konturatu,V,132.769,kon-tu-ra-tu,4
kontuzko,G,0.549,kon-tuz-ko,3
kontxo,O,10.15,kon-txo,2
kontzejal,N,1.646,kon-tze-jal,3
kontzeju,N,3.566,kon-tze-ju,3
apologetiko,G,0.549,a-po-lo-ge-ti-ko,6
kontzentrapen,N,0.549,kon-tzen-tra-pen,4
kontzentratu,V,5.486,kon-tzen-tra-tu,4
kontzentrazio,N,16.185,kon-tzen-tra-zi-o,5
kontzentriko,G,1.372,kon-tzen-tri-ko,4
kontzeptu,N,100.674,kon-tzep-tu,3
kontzeptual,G,3.292,kon-tzep-tu-al,4
kontzeptualizazio,N,1.097,kon-tzep-tu-a-li-za-zi-o,8
kontzeptualki,A,0.823,kon-tzep-tu-al-ki,5
kontzepzio,N,10.698,kon-tzep-zi-o,4
apologia,N,3.84,a-po-lo-gi-a,5
kontzertazio,G,0.549,kon-tzer-ta-zi-o,5
kontzertu,N,23.591,kon-tzer-tu,3
kontzertuki,G,0.549,kon-tzer-tu-ki,4
kontzesio,N,4.115,kon-tze-si-o,4
kontzesiodun,G,0.549,kon-tze-si-o-dun,5
kontziente,G,4.115,kon-tzi-en-te,4
kontzienteki,A,2.743,kon-tzi-en-te-ki,5
kontzientzia,N,70.774,kon-tzi-en-tzi-a,5
kontzientziapen,N,0.549,kon-tzi-en-tzi-a-pen,6
kontzientziatu,V,0.823,kon-tzi-en-tzi-a-tu,6
apologista,G,1.646,a-po-lo-gis-ta,5
kontzientziazio,N,2.469,kon-tzi-en-tzi-a-zi-o,7
kontzilio,N,4.115,kon-tzi-li-o,4
kooperatiba,N,22.494,ko-o-pe-ra-ti-ba,6
kooperatibista,N,0.549,ko-o-pe-ra-ti-bis-ta,7
kooperazio,N,3.292,ko-o-pe-ra-zi-o,6
koordenatu,N,9.875,ko-or-de-na-tu,5
koordinadora,N,1.097,ko-or-di-na-do-ra,6
koordinaketa,N,5.761,ko-or-di-na-ke-ta,6
koordinakunde,N,3.292,ko-or-di-na-kun-de,6
apopilo,N,1.097,a-po-pi-lo,4
koordinakuntza,N,0.823,ko-or-di-na-kun-tza,6
koordinatu,V,6.035,ko-or-di-na-tu,5
koordinatzaile,N,4.115,ko-or-di-na-tzai-le,6
koordinazio,N,7.955,ko-or-di-na-zi-o,6
kopa,N,19.751,ko-pa,2
kopadura,N,0.549,ko-pa-du-ra,4
kopakada,N,0.549,ko-pa-ka-da,4
aportapen,N,0.549,a-por-ta-pen,4
kopau,N,1.372,ko-pau,2
kopeta,N,9.875,ko-pe-ta,3
kopetilun,G,2.469,ko-pe-ti-lun,4
kopia,N,30.998,ko-pi-a,3
kopiaketa,N,2.195,ko-pi-a-ke-ta,5
kopiatu,V,18.105,ko-pi-a-tu,4
kopin,N,0.549,ko-pin,2
kopista,N,0.823,ko-pis-ta,3
kopla,N,13.167,ko-pla,2
aportatu,N,1.372,a-por-ta-tu,4
kopuru,N,94.639,ko-pu-ru,3
koral,N,4.115,ko-ral,2
koran,N,1.372,ko-ran,2
korapilatsu,G,1.92,ko-ra-pi-la-tsu,5
korapilatu,V,1.646,ko-ra-pi-la-tu,5
korapilo,N,12.07,ko-ra-pi-lo,4
korda,N,5.212,kor-da,2
kordel,N,1.097,kor-del,2
aportazio,N,3.292,a-por-ta-zi-o,5
kordoi,N,2.469,kor-doi,2
kordoka,G,0.823,kor-do-ka,3
koreografia,N,0.549,ko-re-o-gra-fi-a,6
koreografiko,G,1.097,ko-re-o-gra-fi-ko,6
koreografo,N,1.097,ko-re-o-gra-fo,5
korindoi,N,1.097,ko-rin-doi,3
kornea,N,1.097,kor-ne-a,3
korneta,N,1.097,kor-ne-ta,3
koro,N,1.372,ko-ro,2
koroatu,V,2.195,ko-ro-a-tu,4
adardun,G,1.372,a-dar-dun,3
aposizio,N,1.097,a-po-si-zi-o,5
korola,N,1.646,ko-ro-la,3
korologia,G,1.097,ko-ro-lo-gi-a,5
koronel,N,1.372,ko-ro-nel,3
korporatibo,G,0.823,kor-po-ra-ti-bo,5
korporazio,N,3.566,kor-po-ra-zi-o,5
korrea,G,0.823,ko-rre-a,3
korrejidore,N,0.823,ko-rre-ji-do-re,5
korrekzio,N,0.549,ko-rrek-zi-o,4
korrelazio,N,14.264,ko-rre-la-zi-o,5
korreo,N,1.097,ko-rre-o,3
apostoliko,G,0.549,a-pos-to-li-ko,5
korrespondentzia,N,4.938,ko-rres-pon-den-tzi-a,6
korritu,V,9.601,ko-rri-tu,3
korrida,N,3.017,ko-rri-da,3
korridore,N,3.566,ko-rri-do-re,4
korrika,N,74.614,ko-rri-ka,3
korrikalari,N,6.309,ko-rri-ka-la-ri,5
korrikaldi,N,1.097,ko-rri-kal-di,4
korro,N,1.097,ko-rro,2
korronte,N,61.447,ko-rron-te,3
apostolu,N,7.132,a-pos-to-lu,4
korrosio,N,0.823,ko-rro-si-o,4
korroskada,N,0.549,ko-rros-ka-da,4
korrupzio,G,0.823,ko-rrup-zi-o,4
korsikar,G,1.097,kor-si-kar,3
korta,N,4.389,kor-ta,2
kortesia,N,1.92,kor-te-si-a,4
kortex,N,0.549,kor-tex,2
kortozirkuitu,N,0.549,kor-to-zir-ku-i-tu,6
kortxea,N,0.823,kor-txe-a,3
kortxo,N,4.389,kor-txo,2
apostolutza,N,2.195,a-pos-to-lu-tza,5
koru,N,5.486,ko-ru,2
kosk,N,3.292,kosk,1
koska,N,23.591,kos-ka,2
koskor,G,8.504,kos-kor,2
koskorreko,N,0.549,kos-ko-rre-ko,4
koskortu,V,0.549,kos-kor-tu,3
kosmetika,N,0.823,kos-me-ti-ka,4
kosmiko,G,2.743,kos-mi-ko,3
apostrofo,N,0.549,a-pos-tro-fo,4
kosmogonia,N,1.097,kos-mo-go-ni-a,5
kosmolari,G,0.549,kos-mo-la-ri,4
kosmologia,N,0.823,kos-mo-lo-gi-a,5
kosmologiko,G,0.549,kos-mo-lo-gi-ko,5
kosmonauta,N,1.646,kos-mo-nau-ta,4
kosmopolita,G,1.372,kos-mo-po-li-ta,5
kosmopolitismo,N,1.097,kos-mo-po-li-tis-mo,6
kosmos,N,2.743,kos-mos,2
kosta,N,30.998,kos-ta,2
kostalde,N,7.407,kos-tal-de,3
apotema,N,0.549,a-po-te-ma,4
kostata,A,11.247,kos-ta-ta,3
kostatu,V,11.247,kos-ta-tu,3
koste,N,0.549,kos-te,2
kostu,N,23.317,kos-tu,2
kostubidez,G,0.549,kos-tu-bi-dez,4
kostunbrista,N,0.549,kos-tun-bris-ta,4
kota,N,6.584,ko-ta,2
kotiledoi,N,0.823,ko-ti-le-doi,4
kotizatu,V,1.646,ko-ti-za-tu,4
kotizazio,N,1.646,ko-ti-za-zi-o,5
aprendiz,N,1.646,a-pren-diz,3
kotoi,N,4.938,ko-toi,2
kotoikara,G,0.549,ko-toi-ka-ra,4
kotxe,N,26.609,ko-txe,2
kotxetxo,N,0.549,ko-txe-txo,3
koziner,G,0.549,ko-zi-ner,3
kp,N,3.017,kp,1
kra,N,0.823,kra,1
krabelin,N,1.646,kra-be-lin,3
apreta,N,0.549,a-pre-ta,3
krak,N,1.646,krak,1
kras,G,3.017,kras,1
krask,N,1.646,krask,1
kraskatu,V,2.195,kras-ka-tu,3
krater,N,1.646,kra-ter,2
kreatibitate,N,1.372,kre-a-ti-bi-ta-te,6
kreatibo,G,0.549,kre-a-ti-bo,4
kreatu,V,3.84,kre-a-tu,3
kreatura,N,1.92,kre-a-tu-ra,4
kreatzaile,N,2.469,kre-a-tzai-le,4
aprobatu,G,6.309,a-pro-ba-tu,4
kreazio,N,4.389,kre-a-zi-o,4
kreditatu,V,1.92,kre-di-ta-tu,4
kreditu,N,21.397,kre-di-tu,3
kredituka,A,1.097,kre-di-tu-ka,4
kredo,N,1.097,kre-do,2
krema,N,4.663,kre-ma,2
kremailera,N,3.017,kre-mai-le-ra,4
krenatu,G,0.549,kre-na-tu,3
kresal,N,1.097,kre-sal,2
kretazeo,G,0.549,kre-ta-ze-o,4
aprobetxamendu,N,5.486,a-pro-be-txa-men-du,6
krik,N,0.823,krik,1
krimen,N,5.486,kri-men,2
kriminal,N,2.469,kri-mi-nal,3
kriminalizatu,V,0.549,kri-mi-na-li-za-tu,6
kriminologia,N,0.549,kri-mi-no-lo-gi-a,6
krinoideodun,G,0.549,kri-noi-de-o-dun,5
krisalida,N,1.097,kri-sa-li-da,4
kriseilu,N,1.372,kri-sei-lu,3
krisi,N,24.414,kri-si,2
krisialdi,N,9.052,kri-si-al-di,4
adarkatu,V,0.549,a-dar-ka-tu,4
aprobetxatu,V,15.362,a-pro-be-txa-tu,5
kriskitin,N,3.566,kris-ki-tin,3
krispeta,N,0.549,kris-pe-ta,3
kristal,N,12.893,kris-tal,2
kristalino,N,2.469,kris-ta-li-no,4
kristandade,N,0.549,kris-tan-da-de,4
kristau,N,149.228,kris-tau,2
kristauera,G,0.549,kris-ta-u-e-ra,5
kristaugintza,N,0.549,kris-tau-gin-tza,4
apropos,G,12.07,a-pro-pos,3
kristaukeria,N,0.549,kris-tau-ke-ri-a,5
kristauketa,N,0.549,kris-tau-ke-ta,4
kristauki,A,1.097,kris-tau-ki,3
kristaukuntza,N,0.549,kris-tau-kun-tza,4
kristautasun,N,3.017,kris-tau-ta-sun,4
kristautu,V,3.566,kris-tau-tu,3
kristino,N,0.549,kris-ti-no,3
kristo,N,1.646,kris-to,2
kristolako,G,0.549,kris-to-la-ko,4
kristoren,G,9.875,kris-to-ren,3
apuntatu,V,8.504,a-pun-ta-tu,4
kriterio,N,5.761,kri-te-ri-o,4
kritika,N,83.118,kri-ti-ka,3
kritikagai,G,0.549,kri-ti-ka-gai,4
kritikari,N,8.23,kri-ti-ka-ri,4
kritikatu,V,16.733,kri-ti-ka-tu,4
kritiko,G,16.733,kri-ti-ko,3
kritikoki,A,1.372,kri-ti-ko-ki,4
kro,N,1.097,kro,1
apunte,N,4.663,a-pun-te,3
kroak,N,0.823,kro-ak,2
kroaziar,G,1.372,kro-a-zi-ar,4
kroaziera,N,1.097,kro-a-zi-e-ra,5
kroketa,N,0.549,kro-ke-ta,3
krokis,N,0.823,kro-kis,2
krokodilo,N,1.372,kro-ko-di-lo,4
krol,G,2.469,krol,1
kromatiko,G,0.823,kro-ma-ti-ko,4
kromatina,N,1.372,kro-ma-ti-na,4
kromatografia,N,0.549,kro-ma-to-gra-fi-a,6
apur,G,94.091,a-pur,2
kromo,N,4.663,kro-mo,2
kromogeno,G,0.549,kro-mo-ge-no,4
kromosfera,N,1.097,kro-mos-fe-ra,4
kromosoma,N,5.761,kro-mo-so-ma,4
kronika,N,15.636,kro-ni-ka,3
kronikari,N,0.823,kro-ni-ka-ri,4
kroniko,G,2.469,kro-ni-ko,3
kronista,N,1.92,kro-nis-ta,3
kronologia,N,4.115,kro-no-lo-gi-a,5
kronologiko,G,3.84,kro-no-lo-gi-ko,5
apuratu,N,0.823,a-pu-ra-tu,4
kronologikoki,A,2.743,kro-no-lo-gi-ko-ki,6
kronometraketa,N,0.549,kro-no-me-tra-ke-ta,6
kronometratzaile,N,0.549,kro-no-me-tra-tzai-le,6
kroska,N,0.549,kros-ka,2
krudel,G,3.292,kru-del,2
krudelkeria,N,0.549,kru-del-ke-ri-a,5
krudelki,A,1.646,kru-del-ki,3
krudeltasun,N,0.549,kru-del-ta-sun,4
krustazeo,G,0.823,krus-ta-ze-o,4
kruzero,N,0.823,kru-ze-ro,3
apurka,A,18.654,a-pur-ka,3
ktenoforo,G,0.549,kte-no-fo-ro,4
kuku,N,8.23,ku-ku,2
kualifikatu,V,1.372,ku-a-li-fi-ka-tu,6
kualitate,N,10.424,ku-a-li-ta-te,5
kualitatibo,G,2.195,ku-a-li-ta-ti-bo,6
kualitatiboki,A,1.646,ku-a-li-ta-ti-bo-ki,7
kuantifikatu,V,0.549,ku-an-ti-fi-ka-tu,6
kuantiko,G,0.823,ku-an-ti-ko,4
kuantitatibo,G,2.743,ku-an-ti-ta-ti-bo,6
kuantitatiboki,A,2.195,ku-an-ti-ta-ti-bo-ki,7
apurketa,N,4.389,a-pur-ke-ta,4
kuartel,N,4.938,ku-ar-tel,3
kuaternario,N,0.823,ku-a-ter-na-ri-o,6
kubano,G,0.823,ku-ba-no,3
kubatar,G,0.823,ku-ba-tar,3
kubeta,N,1.097,ku-be-ta,3
kubiko,G,6.858,ku-bi-ko,3
kubismo,N,0.823,ku-bis-mo,3
kubista,G,0.549,ku-bis-ta,3
kubo,N,2.469,ku-bo,2
kubritu,G,0.549,ku-bri-tu,3
apurtu,V,35.113,a-pur-tu,3
kudeaketa,N,23.866,ku-de-a-ke-ta,5
kudeantza,N,0.549,ku-de-an-tza,4
kudeatu,V,3.292,ku-de-a-tu,4
kudeatzaile,N,2.195,ku-de-a-tzai-le,5
kudeatze,N,0.823,ku-de-a-tze,4
kui,N,0.823,ku-i,2
kuika,A,0.549,ku-i-ka,3
kukurruku,N,4.938,ku-ku-rru-ku,4
apurtxo,N,6.309,a-pur-txo,3
kukurrukuka,A,1.372,ku-ku-rru-ku-ka,5
kukuso,N,1.097,ku-ku-so,3
kulata,N,1.097,ku-la-ta,3
kulpa,N,2.195,kul-pa,2
kultibatu,V,0.549,kul-ti-ba-tu,4
kultibo,N,0.823,kul-ti-bo,3
kultu,N,4.115,kul-tu,2
kultura,N,282.546,kul-tu-ra,3
kulturadun,G,1.097,kul-tu-ra-dun,4
kultural,G,22.768,kul-tu-ral,3
adartsu,G,0.549,a-dar-tsu,3
apustu,N,25.786,a-pus-tu,3
kulturaldi,N,0.549,kul-tu-ral-di,4
kulturalista,N,0.549,kul-tu-ra-lis-ta,5
kulturalki,A,3.566,kul-tu-ral-ki,4
kulturarteko,G,0.549,kul-tu-rar-te-ko,5
kulturatu,V,0.549,kul-tu-ra-tu,4
kulturgintza,N,2.195,kul-tur-gin-tza,4
kulunka,N,0.823,ku-lun-ka,3
kulunkada,N,0.549,ku-lun-ka-da,4
ar,G,27.157,ar,1
kulunkatu,V,1.372,ku-lun-ka-tu,4
kulunkaulki,N,0.823,ku-lun-kaul-ki,4
kuluxka,N,1.92,ku-lux-ka,3
kume,N,4.115,ku-me,2
kumulu,N,1.646,ku-mu-lu,3
kuneta,G,0.823,ku-ne-ta,3
kuota,N,17.831,ku-o-ta,3
kupel,N,1.646,ku-pel,2
kupitu,V,2.195,ku-pi-tu,3
ara,N,48.828,a-ra,2
kupo,N,2.195,ku-po,2
kupula,N,1.097,ku-pu-la,3
kuraia,N,2.195,ku-ra-ia,3
kurba,N,21.671,kur-ba,2
kurbadura,N,1.646,kur-ba-du-ra,4
kurbatu,V,1.097,kur-ba-tu,3
kuria,N,1.097,ku-ri-a,3
kuriositate,N,1.372,ku-ri-o-si-ta-te,6
kurioski,A,0.823,ku-ri-os-ki,4
arabar,G,8.23,a-ra-bar,3
kurioso,G,3.84,ku-ri-o-so,4
kurloi,N,0.549,kur-loi,2
kurritu,V,2.743,ku-rri-tu,3
kurrikular,G,0.549,ku-rri-ku-lar,4
kurrinka,N,1.372,ku-rrin-ka,3
kurrixka,N,1.646,ku-rrix-ka,3
kurruska,N,1.92,ku-rrus-ka,3
kurtsilo,G,0.549,kur-tsi-lo,3
kurtso,N,15.362,kur-tso,2
kurtsore,N,1.097,kur-tso-re,3
arabe,N,3.84,a-ra-be,3
kusi,N,0.823,ku-si,2
kusku,N,3.292,kus-ku,2
kutikula,N,3.017,ku-ti-ku-la,4
kutsadura,N,24.14,ku-tsa-du-ra,4
kutsagarri,G,0.823,ku-tsa-ga-rri,4
kutsapen,N,0.549,ku-tsa-pen,3
kutsatu,V,12.07,ku-tsa-tu,3
kutsatzaile,N,2.195,ku-tsa-tzai-le,4
arabera,A,686.341,a-ra-be-ra,4
kutsu,N,18.379,ku-tsu,2
kutun,N,4.115,ku-tun,2
kutxa,N,49.103,ku-txa,2
kutxatila,N,3.566,ku-txa-ti-la,4
kutxazain,N,0.823,ku-txa-zain,3
kutxeta,N,0.823,ku-txe-ta,3
kuxin,N,0.823,ku-xin,2
kuzkur,A,0.549,kuz-kur,2
kuzkurtu,V,2.743,kuz-kur-tu,3
kv,N,2.469,kv,1
kw,N,5.486,kw,1
la,N,2.743,la,1
lala,G,1.097,la-la,2
lalalala,N,1.372,la-la-la-la,4
laba,N,3.84,la-ba,2
labain,G,1.646,la-bain,2
labaindu,V,2.195,la-bain-du,3
labainka,A,0.823,la-bain-ka,3
labainkor,G,0.823,la-bain-kor,3
araberan,A,3.017,a-ra-be-ran,4
labana,N,14.264,la-ba-na,3
labar,N,0.549,la-bar,2
labe,N,15.087,la-be,2
label,N,0.549,la-bel,2
labetxo,N,0.549,la-be-txo,3
labexka,N,0.549,la-bex-ka,3
labezomorro,N,1.097,la-be-zo-mo-rro,5
labirinto,N,1.92,la-bi-rin-to,4
laboral,G,17.282,la-bo-ral,3
arabiar,G,11.796,a-ra-bi-ar,4
laborantza,N,13.716,la-bo-ran-tza,4
laborari,N,22.768,la-bo-ra-ri,4
laborategi,N,7.955,la-bo-ra-te-gi,5
laboratorio,N,1.372,la-bo-ra-to-ri-o,6
laboratu,V,0.823,la-bo-ra-tu,4
labore,N,10.973,la-bo-re,3
laborri,N,0.549,la-bo-rri,3
labur,G,103.418,la-bur,2
laburbildu,V,2.743,la-bur-bil-du,4
laburbilketa,N,1.097,la-bur-bil-ke-ta,5
arabiera,N,3.84,a-ra-bi-e-ra,5
laburdura,N,6.584,la-bur-du-ra,4
laburki,A,18.105,la-bur-ki,3
laburkiro,A,1.372,la-bur-ki-ro,4
laburmetraia,N,0.549,la-bur-me-tra-ia,5
laburpen,N,18.928,la-bur-pen,3
laburrera,N,5.486,la-bu-rre-ra,4
laburtu,V,13.442,la-bur-tu,3
laburtxo,N,0.549,la-bur-txo,3
lady,N,6.309,la-dy,2
laga,V,27.706,la-ga,2
araiz,A,0.549,a-raiz,2
lagin,N,17.282,la-gin,2
laginketa,N,5.212,la-gin-ke-ta,4
lagun,G,372.797,la-gun,2
lagunarte,N,5.761,la-gu-nar-te,4
lagundi,N,2.469,la-gun-di,3
lagundu,V,139.627,la-gun-du,3
lagungarri,N,35.936,la-gun-ga-rri,4
lagungile,N,0.549,la-gun-gi-le,4
arakaketa,N,0.823,a-ra-ka-ke-ta,5
lagunkide,N,0.823,la-gun-ki-de,4
lagunkidetasun,N,0.549,la-gun-ki-de-ta-sun,6
lagunkiro,G,1.097,la-gun-ki-ro,4
lagunkoi,G,1.92,la-gun-koi,3
laguntasun,N,3.292,la-gun-ta-sun,4
laguntxo,G,2.195,la-gun-txo,3
laguntza,N,265.264,la-gun-tza,3
laguntzabide,G,0.549,la-gun-tza-bi-de,5
laguntzagai,N,0.549,la-gun-tza-gai,4
laguntzaile,N,51.023,la-gun-tzai-le,4
arakatu,V,18.654,a-ra-ka-tu,4
lahar,N,1.097,la-har,2
laiari,N,0.549,la-ia-ri,3
laido,N,0.823,lai-do,2
laidotu,V,1.097,lai-do-tu,3
laiko,N,4.938,lai-ko,2
laikotza,N,0.549,lai-ko-tza,3
lain,A,8.23,lain,1
laino,N,25.511,lai-no,2
araketa,N,0.823,a-ra-ke-ta,4
lainope,N,0.549,lai-no-pe,3
lainotsu,G,1.92,lai-no-tsu,3
lakainketa,N,1.097,la-kain-ke-ta,4
lakar,G,0.549,la-kar,2
lakartu,N,0.823,la-kar-tu,3
laket,G,6.035,la-ket,2
araknoide,N,0.549,a-rak-noi-de,4
laketu,V,0.823,la-ke-tu,3
lakio,N,0.549,la-ki-o,3
lako,G,8.778,la-ko,2
lakoxe,N,0.823,la-ko-xe,3
laku,N,6.035,la-ku,2
lama,N,4.115,la-ma,2
lamelibrankio,G,0.549,la-me-li-bran-ki-o,6
lamentuka,N,0.549,la-men-tu-ka,4
lamina,N,10.973,la-mi-na,3
lan,N,1135.398,lan,1
araldi,N,0.549,a-ral-di,3
lantresna,N,0.549,lan-tres-na,3
lanabes,N,12.07,la-na-bes,3
lanaldi,N,4.663,la-nal-di,3
lanari,N,66.659,la-na-ri,3
lanarigo,G,2.195,la-na-ri-go,4
lanbide,N,60.35,lan-bi-de,3
lanbro,N,1.097,lan-bro,2
lanbrotsu,G,1.097,lan-bro-tsu,3
aramear,G,1.372,a-ra-me-ar,4
landa,N,42.519,lan-da,2
landaketa,N,1.92,lan-da-ke-ta,4
landare,N,103.143,lan-da-re,3
landaredi,N,2.195,lan-da-re-di,4
landareki,N,0.549,lan-da-re-ki,4
landareria,G,2.469,lan-da-re-ri-a,5
landaretxo,N,0.823,lan-da-re-txo,4
landaretza,N,8.504,lan-da-re-tza,4
landatar,G,0.549,lan-da-tar,3
landatu,V,8.23,lan-da-tu,3
aran,N,3.017,a-ran,2
landetxe,N,2.195,lan-de-txe,3
landola,N,0.823,lan-do-la,3
landu,G,108.355,lan-du,2
landugabe,G,0.823,lan-du-ga-be,4
landun,G,0.823,lan-dun,2
lanegun,N,4.938,la-ne-gun,3
langa,N,5.212,lan-ga,2
langabe,G,2.743,lan-ga-be,3
arantza,N,11.247,a-ran-tza,3
langabetu,N,1.372,lan-ga-be-tu,4
langabezia,N,14.264,lan-ga-be-zi-a,5
langai,N,2.195,lan-gai,2
langar,N,0.549,lan-gar,2
langela,N,0.549,lan-ge-la,3
langile,N,158.829,lan-gi-le,3
langilego,G,1.646,lan-gi-le-go,4
langileria,N,11.521,lan-gi-le-ri-a,5
langintza,N,20.025,lan-gin-tza,3
arantzadun,G,1.646,a-ran-tza-dun,4
langley,G,0.549,lan-gley,2
lanjeroski,A,0.549,lan-je-ros-ki,4
lanketa,N,6.858,lan-ke-ta,3
lankide,N,30.723,lan-ki-de,3
lankidego,N,0.549,lan-ki-de-go,4
lankidetasun,N,0.549,lan-ki-de-ta-sun,5
lankidetza,N,20.025,lan-ki-de-tza,4
lanordu,N,1.646,la-nor-du,3
lanpara,N,14.539,lan-pa-ra,3
lanperna,N,1.097,lan-per-na,3
arantzel,N,1.372,a-ran-tzel,3
lanpostu,N,34.015,lan-pos-tu,3
lansari,N,6.858,lan-sa-ri,3
lantalde,N,3.292,lan-tal-de,3
lantegi,N,52.395,lan-te-gi,3
lantoki,N,11.796,lan-to-ki,3
lantu,N,1.097,lan-tu,2
lantxe,G,0.823,lan-txe,2
lantxo,N,14.264,lan-txo,2
lantza,N,8.504,lan-tza,2
ararteko,N,4.115,a-rar-te-ko,4
lantzeolatu,N,1.097,lan-tze-o-la-tu,5
lapa,N,0.823,la-pa,2
lapiko,N,7.407,la-pi-ko,3
lapitz,N,4.663,la-pitz,2
laprast,N,1.646,la-prast,2
laprastada,N,0.823,la-pras-ta-da,4
lapur,N,20.848,la-pur,2
lapurreta,N,12.893,la-pu-rre-ta,4
arasa,N,1.92,a-ra-sa,3
lapurtar,N,6.309,la-pur-tar,3
lapurtera,N,8.23,la-pur-te-ra,4
lapurtu,V,20.574,la-pur-tu,3
lar,A,6.584,lar,1
laranja,N,17.831,la-ran-ja,3
laranjada,N,0.823,la-ran-ja-da,4
larba,N,8.778,lar-ba,2
lardaskatu,V,1.372,lar-das-ka-tu,4
aratz,G,1.646,a-ratz,2
larderia,N,4.115,lar-de-ri-a,4
larderiatsu,G,0.549,lar-de-ri-a-tsu,5
larderiatu,V,0.823,lar-de-ri-a-tu,5
larrain,N,1.92,la-rrain,2
larrazken,N,0.549,la-rraz-ken,3
larre,N,15.362,la-rre,2
larregi,D,10.15,la-rre-gi,3
larri,G,68.579,la-rri,2
larriagotu,V,2.195,la-rri-a-go-tu,5
arau,N,147.583,a-rau,2
larrialdi,N,7.681,la-rri-al-di,4
larridura,N,2.195,la-rri-du-ra,4
larriki,A,3.292,la-rri-ki,3
larritasun,N,7.407,la-rri-ta-sun,4
larritu,V,13.442,la-rri-tu,3
larru,N,20.025,la-rru,2
larruazal,N,2.469,la-rru-a-zal,4
larrugorri,G,0.549,la-rru-go-rri,4
larruki,N,1.92,la-rru-ki,3
araupila,N,0.549,a-rau-pi-la,4
larrutu,V,2.195,la-rru-tu,3
larrutx,N,0.549,la-rrutx,2
lartxo,A,1.372,lar-txo,2
larunbat,N,21.945,la-run-bat,3
larunbatero,A,1.646,la-run-ba-te-ro,5
lasai,G,147.583,la-sai,2
lasaialdi,N,0.549,la-sa-ial-di,4
lasaigarri,G,3.292,la-sai-ga-rri,4
lasaikeria,N,0.549,la-sai-ke-ri-a,5
arauaz,N,0.823,a-ra-u-az,4
lasaiki,A,2.469,la-sai-ki,3
lasaikuntza,N,0.823,la-sai-kun-tza,4
lasaitasun,N,10.15,la-sai-ta-sun,4
lasaitu,V,24.414,la-sai-tu,3
lasartear,G,0.549,la-sar-te-ar,4
laser,N,2.743,la-ser,2
laster,G,291.325,las-ter,2
lasterka,N,39.776,las-ter-ka,3
lasterkari,N,1.92,las-ter-ka-ri,4
lasterkatu,V,0.549,las-ter-ka-tu,4
araubide,N,20.299,a-rau-bi-de,4
lasterketa,N,22.494,las-ter-ke-ta,4
lasterraldi,N,0.549,las-te-rral-di,4
lastertasun,N,0.823,las-ter-ta-sun,4
lastima,N,6.858,las-ti-ma,3
lasto,N,9.327,las-to,2
lastotxo,N,0.823,las-to-txo,3
lata,N,4.663,la-ta,2
latera,N,1.097,la-te-ra,3
araubidetza,G,3.566,a-rau-bi-de-tza,5
lateral,G,0.823,la-te-ral,3
lateralki,N,0.823,la-te-ral-ki,4
laterri,N,10.973,la-te-rri,3
latex,N,1.372,la-tex,2
latin,N,12.07,la-tin,2
latindar,G,0.823,la-tin-dar,3
latino,G,1.646,la-ti-no,3
latinoamerika,N,1.097,la-ti-no-a-me-ri-ka,7
latitude,N,2.743,la-ti-tu-de,4
araudi,N,26.609,a-rau-di,3
lats,N,0.823,lats,1
latz,G,23.591,latz,1
lau,G,19.751,lau,1
lauburu,N,1.097,lau-bu-ru,3
