lemma,ehme_n,ehme_freq,ehme_log,pos,nwords,lemmalength
barneraketa,2,0.09,0.04,ize,2,11
barnerakoi,17,0.75,0.24,adj,6,10
barneraldi,2,0.09,0.04,ize,2,10
barneratu,785,34.55,1.55,adi,28,9
barneratzaile,2,0.09,0.04,ize,1,13
barnetasun,12,0.53,0.18,ize,7,10
barnetegi,125,5.5,0.81,ize,18,9
barnetik,293,12.9,1.14,adj,1,8
barnetiko,6,0.26,0.1,adj,4,9
barnez,31,1.36,0.37,adj,1,6
barniz,2,0.09,0.04,ize,1,6
baroi,133,5.85,0.84,ize,13,5
barojazale,2,0.09,0.04,adj,2,10
barometriko,1,0.04,0.02,adj,1,11
barometro,26,1.14,0.33,ize,6,9
baronesa,11,0.48,0.17,ize,5,8
barra,1215,53.48,1.74,ize,29,5
barraban,3,0.13,0.05,adj,2,8
barrabas,53,2.33,0.52,adj,8,8
barrabaskeria,30,1.32,0.37,ize,9,13
barrabil,173,7.61,0.94,ize,17,8
barradera,43,1.89,0.46,ize,10,9
barradun,4,0.18,0.07,adj,2,8
barraiatu,13,0.57,0.2,adi,7,9
barraka,38,1.67,0.43,ize,14,7
barrakia,4,0.18,0.07,ize,3,8
barrakoi,58,2.55,0.55,ize,11,8
barrakuda,4,0.18,0.07,ize,2,9
barranba,5,0.22,0.09,ize,3,8
barranda,11,0.48,0.17,ize,2,8
barrandan,47,2.07,0.49,adb,1,9
barrandari,19,0.84,0.26,ize,6,10
barrandatu,31,1.36,0.37,adi,11,10
barrandegi,1,0.04,0.02,ize,1,10
barraratu,2,0.09,0.04,adi,2,9
barraskilo,69,3.04,0.61,ize,13,10
barrasta,2,0.09,0.04,ize,2,8
barratu,2,0.09,0.04,adi,2,7
barre,3850,169.46,2.23,ize,39,5
barrealdi,4,0.18,0.07,ize,1,9
barrealgara,2,0.09,0.04,ize,2,11
barreatu,80,3.52,0.66,adi,13,8
barregarri,941,41.42,1.63,adj,35,10
barregarrikeria,16,0.7,0.23,ize,4,15
barregarriro,6,0.26,0.1,adb,1,12
barregarritasun,5,0.22,0.09,ize,2,15
barregile,3,0.13,0.05,adj,3,9
barregura,116,5.11,0.79,ize,5,9
barregure,5,0.22,0.09,ize,3,9
barreiadura,1,0.04,0.02,ize,1,11
barreiaketa,4,0.18,0.07,ize,3,11
barreiakuntza,4,0.18,0.07,ize,2,13
barreiamendu,6,0.26,0.1,ize,4,12
barreiapen,1,0.04,0.02,ize,1,10
barreiatu,878,38.65,1.6,adi,38,9
barreiatzaile,1,0.04,0.02,adj,1,13
barreidurika,1,0.04,0.02,ize,1,12
barreiu,4,0.18,0.07,adb,1,7
barreka,218,9.6,1.03,adb,1,7
barren,1381,60.79,1.79,adj,34,6
barrena,3085,135.79,2.14,adj,2,7
barrenako,8,0.35,0.13,adj,2,9
barrenalde,27,1.19,0.34,ize,7,10
barrendari,6,0.26,0.1,ize,3,10
barrendatu,3,0.13,0.05,adi,2,10
barrendegi,6,0.26,0.1,ize,4,10
barrendik,115,5.06,0.78,adb,2,9
barrendu,59,2.6,0.56,adi,14,8
barrenean,633,27.86,1.46,adj,1,9
barreneko,146,6.43,0.87,adj,9,9
barrenez,2,0.09,0.04,adj,1,8
barrengaizto,3,0.13,0.05,ize,2,12
barrengo,99,4.36,0.73,adj,5,8
barrengorri,1,0.04,0.02,ize,1,11
barrenhustu,8,0.35,0.13,adi,5,11
barrenki,4,0.18,0.07,adj,2,8
barrenkoi,3,0.13,0.05,adj,2,9
barrenkor,8,0.35,0.13,adj,4,9
barreno,2,0.09,0.04,ize,2,7
barrentasun,1,0.04,0.02,ize,1,11
barrenustu,3,0.13,0.05,adi,3,10
barrenuts,5,0.22,0.09,adj,4,9
barrera,35,1.54,0.4,ize,7,7
barreragile,1,0.04,0.02,ize,1,11
barrez,1040,45.78,1.67,adb,1,6
barrezka,165,7.26,0.92,adb,1,8
barride,21,0.92,0.28,ize,10,7
barrika,56,2.46,0.54,ize,13,7
barrikada,98,4.31,0.73,ize,13,9
barrikote,5,0.22,0.09,ize,2,9
barril,5,0.22,0.09,ize,2,6
barrio,104,4.58,0.75,ize,9,6
barrirudi,16,0.7,0.23,ize,3,9
barrokia,7,0.31,0.12,ize,5,8
barrokismo,9,0.4,0.15,ize,3,10
barroko,169,7.44,0.93,adj,20,7
barrote,50,2.2,0.51,ize,14,7
barru,2258,99.39,2,ize,39,5
barrualde,312,13.73,1.17,ize,24,9
barrualdi,2,0.09,0.04,ize,2,9
barruan,6976,307.05,2.49,ize,1,7
barrubigun,5,0.22,0.09,adj,4,10
barruki,51,2.24,0.51,ize,10,7
barruko,1814,79.84,1.91,ize,25,7
barrukotasun,10,0.44,0.16,ize,6,12
barrun,3,0.13,0.05,ize,3,6
barrunbe,153,6.73,0.89,ize,27,8
barrunbehe,2,0.09,0.04,ize,2,10
barrundatu,18,0.79,0.25,adi,5,10
barruntatu,14,0.62,0.21,adi,3,10
barrura,1279,56.3,1.76,ize,1,7
barrurako,48,2.11,0.49,ize,3,9
barruratu,68,2.99,0.6,adi,10,9
barruti,505,22.23,1.37,ize,24,7
barrutik,821,36.14,1.57,ize,1,8
barrutiko,96,4.23,0.72,ize,2,9
barrutu,3,0.13,0.05,adi,2,7
barruz,2,0.09,0.04,ize,1,6
bart,738,32.48,1.52,adb,5,4
bartan,6,0.26,0.1,ize,3,6
bartz,9,0.4,0.15,ize,3,5
bartzelonar,6,0.26,0.1,adj,3,11
barur,29,1.28,0.36,ize,6,5
baruraldi,6,0.26,0.1,ize,3,9
barurik,9,0.4,0.15,adb,1,7
barurtze,3,0.13,0.05,ize,3,8
basa,448,19.72,1.32,adj,15,4
basabazter,3,0.13,0.05,ize,3,10
basabehi,1,0.04,0.02,ize,1,8
basabelar,2,0.09,0.04,ize,2,9
basabere,27,1.19,0.34,ize,10,8
basabide,4,0.18,0.07,ize,3,8
basabitxilore,1,0.04,0.02,ize,1,13
basaerramu,1,0.04,0.02,ize,1,10
basafruitu,2,0.09,0.04,ize,2,10
basagizon,8,0.35,0.13,ize,4,9
basahate,10,0.44,0.16,ize,4,8
basahuntz,54,2.38,0.53,ize,10,9
basailu,83,3.65,0.67,adj,14,7
basailutza,3,0.13,0.05,ize,3,10
basajaun,29,1.28,0.36,ize,4,8
basajende,5,0.22,0.09,ize,2,9
basaka,7,0.31,0.12,adj,3,6
basakaran,2,0.09,0.04,ize,2,9
basakatu,20,0.88,0.27,ize,8,8
basaker,1,0.04,0.02,ize,1,7
basakeria,246,10.83,1.07,ize,21,9
basaki,32,1.41,0.38,adb,2,6
basakiro,2,0.09,0.04,adb,1,8
basakorte,2,0.09,0.04,ize,2,9
basakristau,5,0.22,0.09,ize,3,11
basakume,3,0.13,0.05,ize,2,8
basal,8,0.35,0.13,adj,6,5
basalandare,4,0.18,0.07,ize,2,11
basalapur,1,0.04,0.02,ize,1,9
basaleinu,2,0.09,0.04,ize,2,9
basalizar,3,0.13,0.05,ize,3,9
basalore,4,0.18,0.07,ize,2,8
basalto,3,0.13,0.05,ize,1,7
basamarmol,4,0.18,0.07,ize,3,10
basamentu,1,0.04,0.02,ize,1,9
basamortu,1192,52.47,1.73,ize,30,9
basamortutze,10,0.44,0.16,ize,4,12
basamutil,2,0.09,0.04,ize,2,9
basandere,6,0.26,0.1,ize,2,9
basandre,2,0.09,0.04,ize,1,8
basaneska,5,0.22,0.09,ize,3,9
basapiku,4,0.18,0.07,ize,2,8
basapizti,4,0.18,0.07,ize,3,9
basapiztia,210,9.24,1.01,ize,16,10
basaran,4,0.18,0.07,ize,2,7
basarbi,2,0.09,0.04,ize,1,7
basari,3,0.13,0.05,adj,1,6
basarte,14,0.62,0.21,ize,2,7
basarto,8,0.35,0.13,ize,4,7
basasagu,1,0.04,0.02,ize,1,8
basasto,16,0.7,0.23,ize,7,7
basatasun,6,0.26,0.1,ize,4,9
basati,962,42.34,1.64,adj,53,6
basatikeria,9,0.4,0.15,ize,1,11
basatu,3,0.13,0.05,adi,1,6
basatza,35,1.54,0.4,ize,12,7
basauriar,10,0.44,0.16,adj,4,9
basauritar,28,1.23,0.35,adj,5,10
basazain,1,0.04,0.02,ize,1,8
basbusa,10,0.44,0.16,ize,2,7
base,555,24.43,1.41,ize,26,4
baseball,7,0.31,0.12,ize,2,8
basektomia,33,1.45,0.39,ize,5,10
baselina,7,0.31,0.12,ize,3,8
baseliza,51,2.24,0.51,ize,11,8
baserri,2050,90.23,1.96,ize,51,7
baserrialde,2,0.09,0.04,ize,2,11
baserritar,805,35.43,1.56,ize,26,10
baserritarkeria,5,0.22,0.09,ize,5,15
baserritartasun,1,0.04,0.02,ize,1,15
baserritartu,2,0.09,0.04,adi,2,12
basetxe,33,1.45,0.39,ize,13,7
bashkir,1,0.04,0.02,ize,1,7
basiko,10,0.44,0.16,adj,9,6
basikotasun,1,0.04,0.02,ize,1,11
basilar,16,0.7,0.23,adj,6,7
basilear,2,0.09,0.04,adj,2,8
basileus,2,0.09,0.04,ize,1,8
basilika,181,7.97,0.95,ize,18,8
basilisko,56,2.46,0.54,ize,6,9
basitu,11,0.48,0.17,adi,6,6
basket,372,16.37,1.24,ize,3,6
baskismo,4,0.18,0.07,ize,3,8
baskista,8,0.35,0.13,adj,3,8
baskito,2,0.09,0.04,ize,1,7
basko,112,4.93,0.77,ize,12,5
baskoi,44,1.94,0.47,adj,9,6
baskondar,2,0.09,0.04,adj,2,9
baskongada,7,0.31,0.12,adj,2,10
baskongado,5,0.22,0.09,adj,4,10
baskotasun,4,0.18,0.07,ize,3,10
baskula,21,0.92,0.28,ize,5,7
baskular,8,0.35,0.13,adj,5,8
baso,2701,118.89,2.08,ize,59,4
basoarte,3,0.13,0.05,ize,1,8
basoerdi,35,1.54,0.4,ize,5,8
basogintza,6,0.26,0.1,ize,4,10
basoilar,20,0.88,0.27,ize,4,8
basoilo,1,0.04,0.02,ize,1,7
basokada,61,2.68,0.57,ize,4,8
basolan,2,0.09,0.04,ize,2,7
basolibondo,2,0.09,0.04,ize,2,11
basomutil,36,1.58,0.41,ize,8,9
basotar,1,0.04,0.02,adj,1,7
basotu,1,0.04,0.02,adi,1,6
basozain,63,2.77,0.58,ize,9,8
basozaintza,2,0.09,0.04,ize,1,11
basset,2,0.09,0.04,adj,2,6
basta,44,1.94,0.47,ize,4,5
bastante,23,1.01,0.3,adb,1,8
bastart,42,1.85,0.45,adj,8,7
bastatu,5,0.22,0.09,adi,4,7
bastidar,10,0.44,0.16,adj,4,8
bastidore,13,0.57,0.2,ize,5,9
bastimendu,18,0.79,0.25,ize,5,10
bastioi,13,0.57,0.2,ize,8,7
bastiza,133,5.85,0.84,ize,13,7
basto,8,0.35,0.13,adj,4,5
bastoi,82,3.61,0.66,ize,15,6
basurde,290,12.76,1.14,ize,21,7
basurdeki,5,0.22,0.09,ize,3,9
bat,316425,13927.5,4.14,zen,122,3
bataiarri,10,0.44,0.16,ize,5,9
bataiatu,484,21.3,1.35,adi,25,8
bataiatzaile,67,2.95,0.6,ize,8,12
bataila,255,11.22,1.09,ize,19,7
batailari,11,0.48,0.17,ize,3,9
batailatu,4,0.18,0.07,adi,3,9
batailoi,235,10.34,1.05,ize,30,8
bataio,430,18.93,1.3,ize,23,6
batalla,17,0.75,0.24,ize,2,7
batallita,2,0.09,0.04,ize,2,9
batalloi,11,0.48,0.17,ize,6,8
batasun,12462,548.52,2.74,ize,38,7
batasungile,2,0.09,0.04,ize,1,11
batasungintza,3,0.13,0.05,ize,2,13
batasuno,2,0.09,0.04,adj,2,8
batata,6,0.26,0.1,ize,3,6
bataviar,2,0.09,0.04,adj,1,8
batazbeste,11,0.48,0.17,adb,5,10
batbedera,44,1.94,0.47,izr,5,9
bateako,2,0.09,0.04,adj,2,7
batean,51205,2253.8,3.35,zen,1,6
bategile,4,0.18,0.07,ize,1,8
bategin,17,0.75,0.24,ize,6,7
bategintza,3,0.13,0.05,ize,2,10
bategite,40,1.76,0.44,ize,12,8
bateiatu,1,0.04,0.02,adi,1,8
bateko,6805,299.52,2.48,zen,24,6
batekotasun,70,3.08,0.61,ize,7,11
batel,129,5.68,0.82,ize,22,5
batelari,4,0.18,0.07,ize,3,8
batelera,16,0.7,0.23,ize,3,8
bateltzar,2,0.09,0.04,ize,2,9
bateo,1,0.04,0.02,ize,1,5
batera,20236,890.69,2.95,adb,3,6
bateraezin,127,5.59,0.82,adj,9,10
bateraezintasun,39,1.72,0.43,ize,11,15
bateragarri,227,9.99,1.04,adj,4,11
bateragarritasun,18,0.79,0.25,ize,5,16
baterako,3748,164.97,2.22,zen,6,8
baterakoi,7,0.31,0.12,ize,2,9
baterakuntza,7,0.31,0.12,ize,3,12
bateratasun,36,1.58,0.41,ize,8,11
bateratsu,27,1.19,0.34,adb,3,9
bateratu,1257,55.33,1.75,adi,32,8
bateratzaile,61,2.68,0.57,adj,11,12
bateratze,275,12.1,1.12,adi,15,9
baterazintasun,2,0.09,0.04,ize,2,14
batere,6608,290.85,2.47,zen,1,6
bateria,375,16.51,1.24,ize,13,7
bateriajole,4,0.18,0.07,ize,2,11
batetaratu,56,2.46,0.54,adi,12,10
batetik,10411,458.24,2.66,zen,1,7
batez,21396,941.75,2.97,zen,1,5
batezbeste,4,0.18,0.07,adb,1,10
batezbesteko,20,0.88,0.27,adj,4,12
batgarren,43,1.89,0.46,zen,5,9
batiente,4,0.18,0.07,ize,3,8
batik,1492,65.67,1.82,zen,1,5
batimendu,13,0.57,0.2,ize,4,9
batipat,10,0.44,0.16,adb,1,7
batista,59,2.6,0.56,ize,3,7
batmuntatu,3,0.13,0.05,adi,2,10
batrakio,3,0.13,0.05,ize,2,8
batteleku,5,0.22,0.09,ize,3,9
batteliku,15,0.66,0.22,ize,4,9
batto,282,12.41,1.13,zen,2,5
batu,10344,455.29,2.66,adi,81,4
batuar,16,0.7,0.23,adj,8,6
batuera,5,0.22,0.09,ize,2,7
batuetar,5,0.22,0.09,adj,3,8
batugai,1,0.04,0.02,ize,1,7
batugailu,2,0.09,0.04,ize,2,9
batuketa,193,8.49,0.98,ize,14,8
batura,190,8.36,0.97,ize,11,6
baturatu,2,0.09,0.04,adi,2,8
batuta,164,7.22,0.91,adi,5,6
batutapean,2,0.09,0.04,adb,1,10
batuzale,5,0.22,0.09,adj,2,8
batxiler,78,3.43,0.65,ize,10,8
batxilergo,158,6.95,0.9,ize,11,10
batxo,3,0.13,0.05,zen,2,5
batza,569,25.04,1.42,ize,9,5
batzar,2149,94.59,1.98,ize,15,6
batzarburu,4,0.18,0.07,ize,3,10
batzargela,1,0.04,0.02,ize,1,10
batzarkide,132,5.81,0.83,ize,13,10
batzarleku,4,0.18,0.07,ize,3,10
batzarraldi,2,0.09,0.04,ize,2,11
batzarre,1036,45.6,1.67,ize,19,8
batzarretxe,1,0.04,0.02,ize,1,11
batzartoki,2,0.09,0.04,ize,2,10
batzartu,150,6.6,0.88,adi,15,8
batze,231,10.17,1.05,adi,11,5
batzoki,102,4.49,0.74,ize,15,7
batzorde,7520,330.99,2.52,ize,47,8
batzordeburu,38,1.67,0.43,ize,5,12
batzordekide,55,2.42,0.53,ize,10,12
batzuk,47488,2090.2,3.32,zen,55,6
baule,2,0.09,0.04,ize,2,5
baurre,2,0.09,0.04,ize,2,6
bauxita,7,0.31,0.12,ize,3,7
bavariar,15,0.66,0.22,adj,3,8
baxa,10,0.44,0.16,ize,2,4
baxati,2,0.09,0.04,adj,2,6
baxatu,1,0.04,0.02,adi,1,6
baxenabar,74,3.26,0.63,adj,2,9
baxenabartar,68,2.99,0.6,adj,7,12
baxenafar,39,1.72,0.43,adj,13,9
baxenafarrera,2,0.09,0.04,ize,2,13
baxera,64,2.82,0.58,ize,10,6
baxeragile,1,0.04,0.02,ize,1,10
baxerategi,7,0.31,0.12,ize,5,10
baxko,5,0.22,0.09,adj,2,5
baxo,126,5.55,0.82,adj,10,4
baxoerdi,50,2.2,0.51,ize,6,8
baxokada,2,0.09,0.04,ize,2,8
baxtart,2,0.09,0.04,ize,1,7
baxter,16,0.7,0.23,ize,6,6
baxu,800,35.21,1.56,adj,56,4
baxuerliebe,11,0.48,0.17,ize,5,11
baxura,19,0.84,0.26,adj,2,6
baza,4,0.18,0.07,ize,2,4
bazar,57,2.51,0.55,ize,9,5
bazilo,18,0.79,0.25,ize,8,6
bazka,245,10.78,1.07,ize,18,5
bazkalaitzin,1,0.04,0.02,ize,1,12
bazkalaurre,18,0.79,0.25,ize,7,11
bazkaldar,5,0.22,0.09,ize,2,9
bazkaldu,1148,50.53,1.71,adi,25,8
bazkaleku,14,0.62,0.21,ize,8,9
bazkalkide,2,0.09,0.04,ize,2,10
bazkalondo,198,8.72,0.99,ize,12,10
bazkalordu,145,6.38,0.87,ize,11,10
bazkaloste,127,5.59,0.82,ize,7,10
bazkalti,2,0.09,0.04,ize,2,8
bazkaltiar,95,4.18,0.71,ize,9,10
bazkari,2180,95.95,1.99,ize,38,7
bazkaritan,31,1.36,0.37,adb,1,10
bazkaritara,15,0.66,0.22,adb,1,11
bazkarite,4,0.18,0.07,ize,1,9
bazkariten,4,0.18,0.07,adb,1,10
bazkaritera,4,0.18,0.07,adb,1,11
bazkatoki,2,0.09,0.04,ize,2,9
bazkatu,161,7.09,0.91,adi,15,7
bazkatzaile,1,0.04,0.02,ize,1,11
bazkide,803,35.34,1.56,ize,30,7
bazkidetu,4,0.18,0.07,adi,4,9
bazkidetza,15,0.66,0.22,ize,3,10
bazko,269,11.84,1.11,ize,8,5
bazkun,51,2.24,0.51,ize,10,6
bazoka,6,0.26,0.1,ize,4,6
bazooka,10,0.44,0.16,ize,3,7
baztandar,102,4.49,0.74,adj,8,9
baztanga,42,1.85,0.45,ize,4,8
bazter,5770,253.97,2.41,ize,57,6
bazterbide,20,0.88,0.27,ize,7,10
baztergabe,14,0.62,0.21,adj,5,10
baztergarri,19,0.84,0.26,adj,9,11
baztergi,3,0.13,0.05,ize,2,8
bazterkatu,1,0.04,0.02,adi,1,10
bazterkeria,67,2.95,0.6,ize,9,11
bazterketa,645,28.39,1.47,ize,17,10
bazterralde,7,0.31,0.12,ize,2,11
bazterraldi,9,0.4,0.15,ize,5,11
bazterrauzo,2,0.09,0.04,ize,2,11
bazterreratu,27,1.19,0.34,adi,10,12
bazterretan,576,25.35,1.42,ize,1,11
bazterretsi,1,0.04,0.02,adi,1,11
bazterretxe,5,0.22,0.09,ize,1,11
bazterrezin,6,0.26,0.1,adj,4,11
baztertezin,2,0.09,0.04,adj,2,11
baztertu,5026,221.22,2.35,adi,88,8
baztertzaile,147,6.47,0.87,ize,16,12
be,736,32.4,1.52,adb,2,2
beasaindar,47,2.07,0.49,adj,8,10
beata,14,0.62,0.21,adj,3,5
beatifikatu,2,0.09,0.04,adi,2,11
beatifiko,4,0.18,0.07,adj,3,9
beato,8,0.35,0.13,ize,5,5
beaumondar,18,0.79,0.25,adj,4,10
beaumontar,7,0.31,0.12,adj,3,10
beaumontes,2,0.09,0.04,adj,2,10
bebarru,82,3.61,0.66,ize,13,7
bedar,6,0.26,0.1,ize,4,5
bedats,3,0.13,0.05,ize,1,6
bedatse,13,0.57,0.2,ize,5,7
bedatu,2,0.09,0.04,adi,1,6
bedeinkagarri,1,0.04,0.02,adj,1,13
bedeinkapen,145,6.38,0.87,ize,10,11
bedeinkatu,1092,48.06,1.69,adi,35,10
bedeinkazio,254,11.18,1.09,ize,16,11
bedel,6,0.26,0.1,ize,4,5
bedera,108,4.75,0.76,zen,9,6
bederaka,3,0.13,0.05,ize,1,8
bederatzi,2970,130.73,2.12,zen,27,9
bederatziehun,52,2.29,0.52,zen,3,13
bederatzigarren,404,17.78,1.27,zen,11,15
bederatziko,50,2.2,0.51,adj,8,11
bederatzirehun,1,0.04,0.02,zen,1,14
bederatziurren,13,0.57,0.2,ize,5,14
bederatziurrun,4,0.18,0.07,ize,2,14
bederazka,36,1.58,0.41,adb,1,9
bederazkako,3,0.13,0.05,adj,2,11
bedere,5,0.22,0.09,adb,1,6
bederen,2886,127.03,2.11,lot,1,7
bederenik,4,0.18,0.07,adb,1,9
bederik,11,0.48,0.17,adb,1,7
bediko,2,0.09,0.04,adj,2,6
beduindar,4,0.18,0.07,adj,4,9
beduino,29,1.28,0.36,ize,12,7
bee,36,1.58,0.41,ize,3,3
beeka,8,0.35,0.13,adb,1,5
beekari,2,0.09,0.04,ize,2,7
begetal,13,0.57,0.2,adj,6,7
begetarianismo,1,0.04,0.02,ize,1,14
begetariano,20,0.88,0.27,adj,4,11
begetatibo,16,0.7,0.23,adj,6,10
begetatu,1,0.04,0.02,adi,1,8
begi,13542,596.05,2.78,ize,72,4
begiargi,3,0.13,0.05,adj,1,8
begibakar,73,3.21,0.62,adj,8,9
begibeltz,2,0.09,0.04,adj,2,9
begibeteko,1,0.04,0.02,adj,1,10
begibista,93,4.09,0.71,ize,17,9
begiesgarri,10,0.44,0.16,adj,5,11
begiesle,2,0.09,0.04,ize,2,8
begiespen,825,36.31,1.57,ize,33,9
begietaratu,20,0.88,0.27,adi,2,11
begietsi,168,7.39,0.92,adi,17,8
begigorri,4,0.18,0.07,adj,3,9
begihandi,2,0.09,0.04,ize,2,9
begije,2,0.09,0.04,ize,1,6
begikera,5,0.22,0.09,ize,1,8
begiko,335,14.75,1.2,adj,9,6
begikotasun,64,2.82,0.58,ize,9,11
begilabur,2,0.09,0.04,adj,2,9
begilagun,2,0.09,0.04,ize,2,9
begiluze,58,2.55,0.55,adj,17,8
begimen,14,0.62,0.21,ize,6,7
beginini,27,1.19,0.34,ize,9,8
begioker,2,0.09,0.04,adj,2,8
begiondo,13,0.57,0.2,ize,6,8
begiorde,2,0.09,0.04,ize,2,8
begipe,11,0.48,0.17,ize,2,6
begipean,47,2.07,0.49,adb,1,8
begipeko,4,0.18,0.07,adj,2,8
begipetsu,1,0.04,0.02,adj,1,9
begira,12861,566.08,2.75,ize,15,6
begirada,3377,148.64,2.18,ize,29,8
begiradape,93,4.09,0.71,ize,2,10
begiragarri,4,0.18,0.07,adj,3,11
begirakor,2,0.09,0.04,adj,2,9
begirakune,234,10.3,1.05,ize,13,10
begiraldi,19,0.84,0.26,ize,6,9
begirale,663,29.18,1.48,ize,26,8
begiraleku,11,0.48,0.17,ize,5,10
begiraletza,5,0.22,0.09,ize,3,11
begiramen,129,5.68,0.82,ize,14,9
begiramendu,15,0.66,0.22,ize,6,11
begirapean,1,0.04,0.02,adb,1,10
begirapen,5,0.22,0.09,ize,4,9
begirari,6,0.26,0.1,adj,2,8
begirasun,3,0.13,0.05,ize,3,9
begirategi,3,0.13,0.05,ize,3,10
begiratoki,25,1.1,0.32,ize,12,10
begiratu,12626,555.74,2.75,adi,38,8
begiratuki,4,0.18,0.07,adb,1,10
begiratupean,4,0.18,0.07,adb,1,12
begiratzaile,17,0.75,0.24,ize,6,12
begiratze,1520,66.9,1.83,adi,20,9
begirazale,2,0.09,0.04,ize,2,10
begirazo,2,0.09,0.04,ize,2,8
begirazulo,9,0.4,0.15,ize,3,10
begirazun,6,0.26,0.1,ize,4,9
begirune,1381,60.79,1.79,ize,22,8
begisare,1,0.04,0.02,ize,1,8
begistatu,54,2.38,0.53,ize,6,9
begitako,4,0.18,0.07,adj,1,8
begitandu,381,16.77,1.25,adi,9,9
begitarte,818,36,1.57,ize,19,9
begitartetsu,1,0.04,0.02,adj,1,12
begitazio,41,1.8,0.45,ize,10,9
begite,2,0.09,0.04,ize,2,6
begitsu,6,0.26,0.1,adj,4,7
begitu,18,0.79,0.25,adi,4,6
begitzar,4,0.18,0.07,ize,1,8
begiurdin,7,0.31,0.12,adj,3,9
begiz,508,22.36,1.37,ize,1,5
begizko,35,1.54,0.4,adj,5,7
begizorrotz,3,0.13,0.05,adj,2,11
begizta,11,0.48,0.17,ize,7,7
begiztatu,422,18.57,1.29,adi,11,9
begiztatze,40,1.76,0.44,adi,9,10
begizulo,24,1.06,0.31,ize,8,8
begonia,3,0.13,0.05,ize,2,7
begoñatar,1,0.04,0.02,adj,1,9
beha,1157,50.93,1.72,adb,1,4
behagai,4,0.18,0.07,ize,1,7
behagarri,7,0.31,0.12,adj,3,9
behagarritasun,3,0.13,0.05,ize,3,14
behaka,4,0.18,0.07,adb,1,6
behaketa,256,11.27,1.09,ize,19,8
behako,590,25.97,1.43,ize,25,6
behakuntza,5,0.22,0.09,ize,3,10
behaldi,2,0.09,0.04,ize,2,7
behar,119971,5280.55,3.72,adj,53,5
beharbada,4492,197.72,2.3,adb,3,9
beharbadako,72,3.17,0.62,adj,5,11
beharbadakotasun,30,1.32,0.37,ize,7,16
beharbeste,1,0.04,0.02,lot,1,10
beharbezalako,1,0.04,0.02,adj,1,13
behardenez,1,0.04,0.02,adb,1,10
behardun,53,2.33,0.52,ize,12,8
behargabe,4,0.18,0.07,ize,2,9
behargabekeria,3,0.13,0.05,ize,1,14
behargabeko,12,0.53,0.18,ize,3,11
behargai,1,0.04,0.02,ize,1,8
behargin,770,33.89,1.54,adj,25,8
behargintza,2,0.09,0.04,ize,1,11
behari,223,9.82,1.03,ize,9,6
beharkizun,38,1.67,0.43,ize,8,10
beharleku,9,0.4,0.15,ize,4,9
beharraldi,13,0.57,0.2,ize,6,10
beharrean,3141,138.25,2.14,bes,1,9
beharreko,4435,195.21,2.29,adj,22,9
beharrez,693,30.5,1.5,adb,1,8
beharrezko,5416,238.39,2.38,adj,29,10
beharrezkotasun,197,8.67,0.99,ize,11,15
beharreztenkeria,1,0.04,0.02,ize,1,16
beharri,187,8.23,0.97,ize,22,7
beharrik,3205,141.07,2.15,adb,1,8
beharrizan,162,7.13,0.91,ize,17,10
beharrondoko,6,0.26,0.1,ize,2,12
beharrordu,14,0.62,0.21,ize,8,10
beharrune,2,0.09,0.04,ize,2,9
behartako,7,0.31,0.12,adj,3,9
behartasun,3,0.13,0.05,ize,3,10
beharti,2,0.09,0.04,adj,2,7
behartsu,953,41.95,1.63,adj,58,8
behartu,4461,196.35,2.3,adi,56,7
behartzaile,4,0.18,0.07,ize,3,11
behategi,21,0.92,0.28,ize,7,8
behatoki,515,22.67,1.37,ize,21,8
behatu,586,25.79,1.43,adi,17,6
behatxulo,17,0.75,0.24,ize,7,9
behatz,853,37.55,1.59,ize,13,6
behatzaile,316,13.91,1.17,ize,20,10
behatzale,2,0.09,0.04,ize,2,9
behatze,263,11.58,1.1,adi,25,7
behatzezur,10,0.44,0.16,ize,4,10
behauztar,6,0.26,0.1,adj,3,9
behaviorismo,3,0.13,0.05,ize,2,12
behaviorista,1,0.04,0.02,adj,1,12
behazale,13,0.57,0.2,adj,4,8
behaztopa,110,4.84,0.77,ize,10,9
behaztopagarri,3,0.13,0.05,adj,2,14
behaztoparri,2,0.09,0.04,ize,2,12
behaztopatu,46,2.02,0.48,adi,10,11
behaztopo,1,0.04,0.02,ize,1,9
behaztun,1,0.04,0.02,ize,1,8
behazun,94,4.14,0.71,ize,13,7
behazuntsu,1,0.04,0.02,adj,1,10
behe,1396,61.45,1.8,ize,21,4
behealde,173,7.61,0.94,ize,13,8
behean,681,29.97,1.49,ize,1,6
behebarru,3,0.13,0.05,ize,1,9
behebeheko,2,0.09,0.04,ize,2,10
behegain,28,1.23,0.35,ize,6,8
beheiti,591,26.01,1.43,ize,17,7
beheitiko,45,1.98,0.47,ize,6,9
beheititu,94,4.14,0.71,adi,12,9
behekalde,4,0.18,0.07,ize,2,9
beheko,1309,57.62,1.77,adj,33,6
behelaino,103,4.53,0.74,ize,16,9
behelainopean,1,0.04,0.02,adb,1,13
behelanbro,1,0.04,0.02,ize,1,10
behenabartar,3,0.13,0.05,adj,2,12
behenafar,6,0.26,0.1,adj,4,9
behenafarrera,2,0.09,0.04,adj,2,13
behera,10357,455.87,2.66,ize,54,6
